Sum of transaction_id,transaction_time,transaction_qty,Sum of unit_price,Sum of Total_bill,Year,Month,Day,Sum of product_id,store_location,Sum of store_id,Size,product_type,product_detail,product_category,Month Name,Sum of Month,Sum of Hour,Sum of Day of Week,Day Name
1,1899-12-30 07:06:11,2,3,6,2023,January,1,32,Lower Manhattan,5,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,7,0,Sunday
2,1899-12-30 07:08:56,2,3,6,2023,January,1,57,Lower Manhattan,5,Large,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,7,0,Sunday
3,1899-12-30 07:14:04,2,4,9,2023,January,1,59,Lower Manhattan,5,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,7,0,Sunday
4,1899-12-30 07:20:24,1,2,2,2023,January,1,22,Lower Manhattan,5,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,7,0,Sunday
5,1899-12-30 07:22:41,2,3,6,2023,January,1,57,Lower Manhattan,5,Large,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,7,0,Sunday
6,1899-12-30 07:22:41,1,3,3,2023,January,1,77,Lower Manhattan,5,Not Defined,Scone,Oatmeal Scone,Bakery,January,1,7,0,Sunday
7,1899-12-30 07:25:49,1,2,2,2023,January,1,22,Lower Manhattan,5,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,7,0,Sunday
8,1899-12-30 07:33:34,2,2,4,2023,January,1,28,Lower Manhattan,5,Small,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,7,0,Sunday
9,1899-12-30 07:39:13,1,4,4,2023,January,1,39,Lower Manhattan,5,Regular,Barista Espresso,Latte,Coffee,January,1,7,0,Sunday
10,1899-12-30 07:39:34,2,4,7,2023,January,1,58,Lower Manhattan,5,Regular,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,7,0,Sunday
11,1899-12-30 07:43:05,1,3,3,2023,January,1,56,Lower Manhattan,5,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,7,0,Sunday
12,1899-12-30 07:44:35,2,4,7,2023,January,1,33,Lower Manhattan,5,Large,Gourmet brewed coffee,Ethiopia,Coffee,January,1,7,0,Sunday
13,1899-12-30 07:45:51,1,3,3,2023,January,1,51,Lower Manhattan,5,Large,Brewed Black tea,Earl Grey,Tea,January,1,7,0,Sunday
14,1899-12-30 07:48:19,1,3,3,2023,January,1,57,Lower Manhattan,5,Large,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,7,0,Sunday
15,1899-12-30 07:52:36,2,3,6,2023,January,1,87,Lower Manhattan,5,Not Defined,Barista Espresso,Ouro Brasileiro shot,Coffee,January,1,7,0,Sunday
16,1899-12-30 07:59:58,2,3,6,2023,January,1,47,Lower Manhattan,5,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,7,0,Sunday
17,1899-12-30 07:59:58,1,4,4,2023,January,1,79,Lower Manhattan,5,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,7,0,Sunday
18,1899-12-30 08:00:18,1,2,2,2023,January,1,42,Hell's Kitchen,8,Regular,Brewed herbal tea,Lemon Grass,Tea,January,1,8,0,Sunday
19,1899-12-30 08:00:39,2,4,9,2023,January,1,59,Hell's Kitchen,8,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,8,0,Sunday
20,1899-12-30 08:11:45,1,5,5,2023,January,1,61,Hell's Kitchen,8,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,8,0,Sunday
21,1899-12-30 08:17:27,2,4,7,2023,January,1,33,Hell's Kitchen,8,Large,Gourmet brewed coffee,Ethiopia,Coffee,January,1,8,0,Sunday
22,1899-12-30 08:24:26,2,3,5,2023,January,1,56,Lower Manhattan,5,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,8,0,Sunday
23,1899-12-30 08:24:26,1,3,3,2023,January,1,69,Lower Manhattan,5,Not Defined,Biscotti,Hazelnut Biscotti,Bakery,January,1,8,0,Sunday
24,1899-12-30 08:29:38,1,3,3,2023,January,1,56,Hell's Kitchen,8,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,8,0,Sunday
25,1899-12-30 08:31:23,1,4,4,2023,January,1,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,8,0,Sunday
26,1899-12-30 08:33:08,1,3,3,2023,January,1,43,Lower Manhattan,5,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,8,0,Sunday
